Lebensmittel,Energie in Kcal,Magnesium in mg,Wasser in g,Calcium in mg,Eiweiß in g,Phosph. in mg,Fett in g,Eisen in mg,KH in g,Zink in mg,ung. FS in g,Vit. A in µg,Chol. in mg,Carotin in mg,Alkohol in g,Vit. E in mg,Harnsr. in mg,Fols. in µg,tie. EW in g,Vit. B1 in mg,BST in g,Vit. B2 in mg,Natrium in mg,Vit. B6 in mg,Kalium in mg,Vit. C in mg
Leinsamen frisch ,"      372,7          ","       350,0  ","          6,1             ","       230,0  ","         24,4             ","       660,0  ","           30,9             ","           8,2  ","              0,0             ","            1,5  ","        20,8             ","        80,0  ","           0,0            ","         0,5  ","         0,0             ","          3,0  ","       105,0            ","          16,0  ","         0,0             ","         0,3  ","            35,0             ","         0,6  ","         0,0            ","         0,9  ","        500,0            ","          0,0   "
Sesam frisch ,"      559,6          ","       347,0  ","          5,2             ","       738,0  ","         17,7             ","       607,0  ","           50,4             ","          10,0  ","             10,2             ","            7,8  ","        22,3             ","         7,0  ","           0,0            ","         0,0  ","         0,0             ","          2,5  ","        80,0            ","          59,0  ","         0,0             ","         0,9  ","            11,2             ","         0,2  ","        45,0            ","         0,5  ","        458,0            ","          0,0   "
Sonnenblumenkern frisch ,"      575,4          ","       395,0  ","          6,0             ","       100,0  ","         22,5             ","       618,0  ","           49,0             ","           6,3  ","             12,3             ","            5,1  ","        30,2             ","         3,0  ","           0,0            ","         0,0  ","         0,0             ","         37,8  ","       160,0            ","          60,0  ","         0,0             ","         1,9  ","             6,3             ","         0,2  ","         2,0            ","         0,6  ","        710,0            ","          0,0   "
Mohn frisch ,"      472,7          ","       333,0  ","          6,1             ","      1460,0  ","         20,2             ","       854,0  ","           42,2             ","           9,5  ","              4,2             ","           10,0  ","        30,7             ","         5,0  ","           0,0            ","         0,0  ","         0,0             ","          4,0  ","       170,0            ","          60,0  ","         0,0             ","         0,9  ","            20,5             ","         0,2  ","        21,0            ","         0,4  ","        705,0            ","          0,0   "
Oliven grün gesäuert ,"      143,5          ","        19,0  ","         71,7             ","        95,0  ","          1,4             ","        17,0  ","           13,9             ","           1,6  ","              1,8             ","            0,2  ","         1,3             ","        48,0  ","           0,0            ","         0,3  ","         0,0             ","          2,0  ","        25,0            ","          30,0  ","         0,0             ","         0,0  ","             2,4             ","         0,1  ","      2100,0            ","         0,0  ","         45,0            ","          0,0   "
Oliven schwarz gesäuert ,"      353,6          ","        16,0  ","         41,3             ","        80,0  ","          2,2             ","        29,0  ","           35,8             ","           1,6  ","              4,9             ","            0,2  ","         3,4             ","         7,0  ","           0,0            ","         0,0  ","         0,0             ","          0,5  ","        30,0            ","          25,0  ","         0,0             ","         0,0  ","             3,8             ","         0,1  ","      3288,0            ","         0,0  ","         38,0            ","          0,0   "
Bambussprossen Konserve gegart ,"       12,0          ","         3,0  ","         94,3             ","        13,0  ","          1,6             ","        37,0  ","            0,2             ","           0,5  ","              0,6             ","            0,2  ","         0,1             ","         2,0  ","           0,0            ","         0,0  ","         0,0             ","          0,2  ","        19,0            ","          18,0  ","         0,0             ","         0,0  ","             1,7             ","         0,0  ","       246,0            ","         0,0  ","        309,0            ","          1,8   "
Luzernensprossen (Alfalfa) ,"       32,1          ","        27,0  ","         90,8             ","        32,0  ","          4,0             ","        70,0  ","            0,7             ","           1,0  ","              2,2             ","            0,9  ","         0,4             ","        16,0  ","           0,0            ","         0,1  ","         0,0             ","          0,1  ","        15,0            ","          17,0  ","         0,0             ","         0,1  ","             1,6             ","         0,1  ","         6,0            ","         0,0  ","         79,0            ","          8,2   "
Mungobohnensprossen ,"       23,7          ","        18,0  ","         88,5             ","        13,0  ","          3,2             ","        49,0  ","            0,3             ","           0,9  ","              1,8             ","            0,4  ","         0,1             ","         7,0  ","           0,0            ","         0,0  ","         0,0             ","          0,1  ","        12,0            ","          28,0  ","         0,0             ","         0,1  ","             5,6             ","         0,1  ","         5,0            ","         0,1  ","        134,0            ","         11,0   "
Getreidesprossen (gekeimt) ,"       69,6          ","        50,0  ","         80,4             ","        11,0  ","          3,2             ","       100,0  ","            0,4             ","           0,8  ","             13,0             ","            0,9  ","         0,2             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          0,3  ","        15,0            ","           4,0  ","         0,0             ","         0,1  ","             2,5             ","         0,0  ","         1,0            ","         0,1  ","        100,0            ","          0,0   "
Hülsenfrüchte reif ,"      278,0          ","       116,0  ","         10,4             ","        50,0  ","         22,9             ","       375,0  ","            1,4             ","           5,0  ","             41,8             ","            3,8  ","         0,7             ","        13,0  ","           0,0            ","         0,1  ","         0,0             ","          1,0  ","       167,0            ","          59,0  ","         0,0             ","         0,8  ","            16,6             ","         0,3  ","        26,0            ","         0,1  ","        940,0            ","          1,6   "
Erbsen reif frisch gegart ,"      145,5          ","        58,0  ","         52,7             ","        26,0  ","         12,0             ","       197,0  ","            0,8             ","           2,5  ","             22,0             ","            2,0  ","         0,4             ","         7,0  ","           0,0            ","         0,0  ","         0,0             ","          0,6  ","        88,0            ","          17,0  ","         0,0             ","         0,3  ","             9,0             ","         0,1  ","        11,0            ","         0,0  ","        411,0            ","          0,5   "
Linsen reif Konserve gegart ,"       77,0          ","        33,0  ","         76,9             ","        23,0  ","          5,8             ","       103,0  ","            0,3             ","           1,9  ","             12,3             ","            1,0  ","         0,2             ","         4,0  ","           0,0            ","         0,0  ","         0,0             ","          0,3  ","        50,0            ","          10,0  ","         0,0             ","         0,0  ","             2,6             ","         0,0  ","       203,0            ","         0,1  ","        209,0            ","          0,1   "
Bohne weiß frisch gegart ,"      112,0          ","        56,0  ","         62,2             ","        48,0  ","          9,1             ","       181,0  ","            0,7             ","           2,5  ","             16,9             ","            1,1  ","         0,4             ","        27,0  ","           0,0            ","         0,2  ","         0,0             ","          0,1  ","        77,0            ","          16,0  ","         0,0             ","         0,2  ","             7,5             ","         0,1  ","         1,0            ","         0,1  ","        473,0            ","          0,6   "
Bohnen weiß reif Konserve gegart ,"       65,6          ","        36,0  ","         77,5             ","        33,0  ","          5,3             ","       107,0  ","            0,4             ","           1,5  ","              9,9             ","            0,7  ","         0,2             ","        15,0  ","           0,0            ","         0,1  ","         0,0             ","          0,1  ","        45,0            ","          13,0  ","         0,0             ","         0,1  ","             4,2             ","         0,0  ","       195,0            ","         0,0  ","        332,0            ","          0,2   "
